,Номер системы,AirVolume,Pressure,FanRotation,NominalPower,RotationMotor,T in Recup,T out Recup,Q chill,KPD,TinHeatI,ToutHeatII,QHeat,PresDropHeatI,Filter
0,p1,8500,709.1,1840,15,1018,-7,17,25.9,37.8,17,26.1,118.79,7.7,EU4
1,v1,8500,613.1,1840,15,955,-7,17,31.2,45.6,17,-,31.2,-,-
